# Named widgets from Kenshi's shipped MyGUI layouts, one per line.
# Captured verbatim from data/gui/layout/*.layout in the pinned
# install; the game's own enumeration of its GUI. Not hand-authored.
#
# SCOPE: base Kenshi only. Mods add windows that exist in no layout
# file - RE_Kenshi contributes DebugWindow, GameSpeedTutorialWindow
# and BugReportWindow, observed live and absent here. Widgets built
# in code rather than loaded from a layout are also outside it; all
# 45 such controls observed so far were anonymous rendered text and
# none were actionable.
layout	widget	type
Kenshi_EffectsPanel.layout	AdditiveColorButton	Button
Kenshi_EffectsPanel.layout	FadeInVolumeButton	Button
Kenshi_EffectsPanel.layout	FadeOutVolumeButton	Button
Kenshi_FactionRelationsLine.layout	Root	Widget
Kenshi_FactionRelationsLine.layout	RightBar	Widget
Kenshi_FactionRelationsLine.layout	LeftBar	Widget
Kenshi_FactionRelationsLine.layout	FactionName	TextBox
Kenshi_FactionRelationsLine.layout	FactionValue	TextBox
Kenshi_GenericBuildingWindow.layout	Root	Window
Kenshi_GenericBuildingWindow.layout	CraftingPanel	Widget
Kenshi_GenericBuildingWindow.layout	CraftingName	TextBox
Kenshi_GenericBuildingWindow.layout	QueueButton	Button
Kenshi_GenericBuildingWindow.layout	TitlesPanel	Widget
Kenshi_GenericBuildingWindow.layout	InputTitleText	TextBox
Kenshi_GenericBuildingWindow.layout	OutputTitleText	TextBox
Kenshi_GenericBuildingWindow.layout	InputOutputPanel	Widget
Kenshi_GenericBuildingWindow.layout	OutputColumn	Widget
Kenshi_GenericBuildingWindow.layout	OutputPanel	Widget
Kenshi_GenericBuildingWindow.layout	OutputContent	Widget
Kenshi_GenericBuildingWindow.layout	out	Widget
Kenshi_GenericBuildingWindow.layout	OutputProgressBar	ProgressBar
Kenshi_GenericBuildingWindow.layout	OutputText	EditBox
Kenshi_GenericBuildingWindow.layout	OutputDataPanel	Widget
Kenshi_GenericBuildingWindow.layout	InputColumn	Widget
Kenshi_GenericBuildingWindow.layout	Input1Panel	Widget
Kenshi_GenericBuildingWindow.layout	Input1Text	TextBox
Kenshi_GenericBuildingWindow.layout	Input1StatusText	TextBox
Kenshi_GenericBuildingWindow.layout	Input1Content	Widget
Kenshi_GenericBuildingWindow.layout	in1	Widget
Kenshi_GenericBuildingWindow.layout	Input1ProgressBar	ProgressBar
Kenshi_GenericBuildingWindow.layout	Input2Panel	Widget
Kenshi_GenericBuildingWindow.layout	Input2Text	TextBox
Kenshi_GenericBuildingWindow.layout	Input2StatusText	TextBox
Kenshi_GenericBuildingWindow.layout	Input2Content	Widget
Kenshi_GenericBuildingWindow.layout	in2	Widget
Kenshi_GenericBuildingWindow.layout	Input2ProgressBar	ProgressBar
Kenshi_ImportGamePanel.layout	Root	Widget
Kenshi_ImportGamePanel.layout	lbTitle	TextBox
Kenshi_ImportGamePanel.layout	InfoPanel	Widget
Kenshi_ImportGamePanel.layout	ImportButton	Button
Kenshi_ImportGamePanel.layout	AdvancedButton	Button
Kenshi_ImportGamePanel.layout	CancelButton	Button
Kenshi_ImportGamePanel.layout	GamesList	MultiListBox
Kenshi_ImportGamePanel.layout	lbResetSquadPosition	TextBox
Kenshi_ImportGamePanel.layout	ResetTickBox	Button
Kenshi_ImportGamePanel.layout	lbImportBuildings	TextBox
Kenshi_ImportGamePanel.layout	BuildingsTickBox	Button
Kenshi_ImportGamePanel.layout	lbImportResearch	TextBox
Kenshi_ImportGamePanel.layout	ResearchTickBox	Button
Kenshi_ImportGamePanel.layout	lbImportNPC	TextBox
Kenshi_ImportGamePanel.layout	NPCTickBox	Button
Kenshi_ImportGamePanel.layout	lbImportRelations	TextBox
